date,match_id,competition,team,player,line,pick,p_hit,model,actual,minutes,result
2026-07-02,4653717.0,World Cup 2026,Algeria,Ibrahim Maza,27.5,O,0.787,39.7,32.0,90.0,WIN
2026-07-02,4653717.0,World Cup 2026,Algeria,Amine Gouiri,15.5,O,0.783,22.7,6.0,32.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Algeria,Ramy Bensebaini,68.5,U,0.733,58.0,82.0,90.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Algeria,Riyad Mahrez,25.5,O,0.724,33.8,31.0,71.0,WIN
2026-07-02,4653717.0,World Cup 2026,Algeria,Rayan Aït-Nouri,38.5,O,0.644,46.1,52.0,90.0,WIN
2026-07-02,4653717.0,World Cup 2026,Algeria,Luca Zidane,28.5,O,0.639,32.8,33.0,90.0,WIN
2026-07-02,4653717.0,World Cup 2026,Switzerland,Rubén Vargas,23.5,O,0.808,35.2,23.0,71.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Switzerland,Breel Embolo,12.5,O,0.778,18.4,12.0,83.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Switzerland,Granit Xhaka,76.5,U,0.552,76.3,70.0,90.0,WIN
2026-07-02,4653717.0,World Cup 2026,Switzerland,Gregor Kobel,33.5,U,0.547,33.4,38.0,90.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Switzerland,Manuel Akanji,75.5,O,0.5,77.8,67.0,90.0,LOSS
2026-07-02,4653717.0,World Cup 2026,Switzerland,Ricardo Iván Rodríguez Araya,48.5,O,0.617,56.3,39.0,90.0,LOSS
2026-07-01,4653709.0,World Cup 2026,Bosnia and Herzegovina,Edin Dzeko,18.5,O,0.712,23.8,15.0,51.0,LOSS
2026-07-01,4653709.0,World Cup 2026,Bosnia and Herzegovina,Ermedin Demirovic,13.5,U,0.595,12.6,6.0,90.0,WIN
2026-07-01,4653709.0,World Cup 2026,Bosnia and Herzegovina,Nikola Katic,41.5,O,0.537,45.4,44.0,75.0,WIN
2026-07-01,4653709.0,World Cup 2026,Bosnia and Herzegovina,Nikola Vasilj,34.5,U,0.534,34.2,32.0,90.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Tim Ream,86.5,U,0.966,54.0,56.0,90.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Tyler Adams,69.5,U,0.819,53.8,47.0,90.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Weston McKennie,48.5,U,0.707,41.5,42.0,89.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Christian Pulisic,35.5,U,0.572,34.6,26.0,88.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Antonee Robinson,53.5,U,0.568,52.4,41.0,90.0,WIN
2026-07-01,4653709.0,World Cup 2026,USA,Folarin Balogun,18.5,U,0.537,18.5,9.0,64.0,WIN
2026-07-03,4653716.0,World Cup 2026,Australia,Alessandro Circati,48.5,U,0.712,42.2,71.0,120.0,LOSS
2026-07-03,4653716.0,World Cup 2026,Australia,Harry Souttar,50.5,U,0.659,46.0,67.0,120.0,LOSS
2026-07-03,4653716.0,World Cup 2026,Egypt,Mohamed Salah,32.5,O,0.64,38.1,39.0,120.0,WIN
2026-07-03,4653716.0,World Cup 2026,Australia,Patrick Beach,24.5,U,0.626,23.1,28.0,119.0,LOSS
2026-07-03,4653716.0,World Cup 2026,Australia,Aiden O'Neill,40.5,U,0.618,38.5,51.0,90.0,LOSS
2026-07-03,4653716.0,World Cup 2026,Australia,Jordan Bos,28.5,U,0.609,26.8,11.0,45.0,WIN
